record_id,database_source,title,original_pdf_collected,original_pdf_match_type,original_pdf_index,original_pdf_pmid,original_pdf_title,pdf_available_for_full_text_review,next_step,authors,year,journal,doi,pmid,duplicate_group_id,source_file,screening_decision,exclusion_reason,notes,ai_title_decision,ai_exclusion_reason,ai_confidence,ai_flags,ai_analysis_tier_hint,reevaluated_title_decision,reevaluated_title_reason,reevaluated_confidence,normalized_title
DUP_00348,Embase; PubMed,[Application and research progress of fMRI in acupuncture treatment for ischemic stroke],no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Huang S, Fan B, Nie D, Lu L.",2026,Zhongguo Zhen Jiu,10.13703/j.0255-2930.20250331-0003,41839611,DUP_00348,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,application and research progress of fmri in acupuncture treatment for ischemic stroke
DUP_00495,Embase; PubMed,[Central mechanism of the short-needling method for treating knee osteoarthritis based on EEG signals],no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Ren Y, Wu H, Li W, Zeng Q, Liu Y.",2026,Zhongguo Zhen Jiu,10.13703/j.0255-2930.20240902-k0001,41558701,DUP_00495,PUBMED_0518.csv; records (1).csv,,,,exclude,no clear fMRI/functional neuroimaging term in title/metadata,medium,acupuncture_term; non_fMRI_modality_flag,,exclude,carried over from first title screen,medium,central mechanism of the short needling method for treating knee osteoarthritis based on eeg signals
DUP_00794,PubMed,[Effect of electroacupuncture at different frequencies on motor function in patients with post-stroke hemiplegia based on BOLD-fMRI],no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"He X, Zhu F, Duan C, Sun S.",2026,Zhongguo Zhen Jiu,10.13703/j.0255-2930.20250422-k0004,42116772,DUP_00794,PUBMED_0518.csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,effect of electroacupuncture at different frequencies on motor function in patients with post stroke hemiplegia based on bold fmri
DUP_01102,PubMed,[Heat-sensitive moxibustion alleviates psychological craving in patients with methamphetamine addiction (withdrawal stage): a randomized controlled trial],no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Li H, Chen R, He W, Zou C, Xie D.",2026,Zhongguo Zhen Jiu,10.13703/j.0255-2930.20251009-k0001,41987436,DUP_01102,PUBMED_0518.csv,,,,exclude,not acupuncture-like intervention in title/metadata,medium,sham_placebo_control_term; acupuncture_adjacent_modality_flag,,exclude,carried over from first title screen,medium,heat sensitive moxibustion alleviates psychological craving in patients with methamphetamine addiction withdrawal stage a randomized controlled trial
DUP_01313,PubMed,[Multidimensional effect of acupuncture bloodletting technique at hand twelve jing-well points on the functions of thalamus and related cortical regions],no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Zhao J, Chai C, Yao G, Guo Y, Zhao Y, Zhang Z, Yang Y, Luo Y, Miao S, Zhang C, Huang J, Xu Z.",2026,Zhongguo Zhen Jiu,10.13703/j.0255-2930.20250924-k0003,41987435,DUP_01313,PUBMED_0518.csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,human_check,brain/neural term present but imaging modality/design unclear from title,medium,multidimensional effect of acupuncture bloodletting technique at hand twelve jing well points on the functions of thalamus and related cortical regions
DUP_00026,Embase; PubMed,"A narrative review of functional near-infrared spectroscopy (fNIRS) applications in hearing loss, tinnitus and vestibular disorders",no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Brotto D, Lucarini G, Del Vecchio V, Galoforo N, Lovato E, Colavolpe B, Melcarne G, Marioni G, Gervain J, Fetoni AR, Trevisi P.",2026,Front Neurosci,10.3389/fnins.2025.1703917,41659203,DUP_00026,PUBMED_0518.csv; records (1).csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,review_or_non_original_flag; animal_flag; non_fMRI_modality_flag,,exclude,carried over from first title screen,high,a narrative review of functional near infrared spectroscopy fnirs applications in hearing loss tinnitus and vestibular disorders
DUP_00049,Embase; PubMed,"A Rare Case Report of Neuroimaging, Electrophysiological, and Dynamic Laryngoscopy Studies in a Stroke Patient of Foix-Chavany-Marie Syndrome",no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Xia L, Cai L, Chen X, Huang W, Chen C, Yang S, Chen Q, Zhu Y.",2026,Clin Case Rep,10.1002/ccr3.72438,42004875,DUP_00049,PUBMED_0518.csv; records (1).csv,,,,exclude,not acupuncture-like intervention in title/metadata,high,strong_fMRI_neuroimaging_term,,exclude,carried over from first title screen,high,a rare case report of neuroimaging electrophysiological and dynamic laryngoscopy studies in a stroke patient of foix chavany marie syndrome
DUP_00143,PubMed,"Acupuncture for cognitive functions in post-COVID-19 condition: study protocol of a three-armed, randomized controlled trial with multimodal MRI",no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Luo T, Luo Y, Liu D, Jin H, An Y, Huang J, Luo K, Guo Y, Wang D, Huang L, Wu X.",2026,Front Med (Lausanne),10.3389/fmed.2026.1796351,42136829,DUP_00143,PUBMED_0518.csv,,,,exclude,review/meta-analysis/scoping/bibliometric/protocol/commentary,high,acupuncture_term; possible_brain_neuro_term; sham_placebo_control_term; review_or_non_original_flag; protocol_flag,,exclude,carried over from first title screen,high,acupuncture for cognitive functions in post covid 19 condition study protocol of a three armed randomized controlled trial with multimodal mri
DUP_00153,Embase; PubMed,Acupuncture for Migraine Without Aura and Connection-Based Efficacy Prediction: A Randomized Clinical Trial,yes,pmid_match,141,41591775,Acupuncture for Migraine Without Aura and Connection-Based Efficacy Prediction: A Randomized Clinical Trial,yes,full_text_review_existing_pdf,"Zhang X, Chen Q, Liu Y, Li J, Nie L, Miao Q, Fu F, Lyu T, Tan Z, Kong Y, Li B, Liu L.",2026,JAMA Netw Open,10.1001/jamanetworkopen.2025.55454,41591775,DUP_00153,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,exclude,"after reevaluation, no clear functional neuroimaging signal in title",medium,acupuncture for migraine without aura and connection based efficacy prediction a randomized clinical trial
DUP_00160,Embase; PubMed,Acupuncture for Post-Stroke Cognitive Impairment: Mechanisms and Clinical Evidence (2020-2025),no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Chen A, Zhao Z, Zhang Y, Zhang L.",2026,Neuropsychiatr Dis Treat,10.2147/NDT.S593288,42004457,DUP_00160,PUBMED_0518.csv; records (1).csv,,,,exclude,no clear fMRI/functional neuroimaging term in title/metadata,medium,acupuncture_term,,exclude,carried over from first title screen,medium,acupuncture for post stroke cognitive impairment mechanisms and clinical evidence 2020 2025
DUP_00190,Embase; PubMed,Acupuncture Modulates Neurotransmitter-Related Molecules in the Amygdala to Ameliorate Generalized Anxiety Disorder,no,no_match,,,,no,do_not_retrieve_unless_spot_check,"Sun Z, Wang Y, Kang X, Ran B, Wu Q, Huang L, Li J, Kan L, Long H, Liang J, Shen W.",2026,CNS Neurosci Ther,10.1002/cns.70847,42007490,DUP_00190,PUBMED_0518.csv; records (1).csv,,,,exclude,animal/non-human study,high,acupuncture_term; animal_flag,,exclude,carried over from first title screen,high,acupuncture modulates neurotransmitter related molecules in the amygdala to ameliorate generalized anxiety disorder
DUP_00258,Embase; PubMed,Acupuncture was associated with improved functional connectivity of the left hippocampal perceptual subregion in amnestic mild cognitive impairment,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Zhang J, Ou J, Chen J, Ma X, Lu X, Wu J, Li X, Lyu H, Liu Y, Xu J.",2026,Brain Imaging Behav,10.1007/s11682-026-01082-5,41806186,DUP_00258,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,acupuncture was associated with improved functional connectivity of the left hippocampal perceptual subregion in amnestic mild cognitive impairment
DUP_00174,Embase; PubMed,Acupuncture-induced changes in locus coeruleus connectivity and memory improvement in patients with amnestic cognitive impairment,yes,pmid_match,142,41626073,Acupuncture-induced changes in locus coeruleus connectivity and memory improvement in patients with amnestic cognitive impairment,yes,full_text_review_existing_pdf,"Hu L, Li X, Ou J, Liu T, Huang X, Liu X, Lu Y, Yang N, Zhang J.",2026,IBRO Neurosci Rep,10.1016/j.ibneur.2026.01.005,41626073,DUP_00174,PUBMED_0518.csv; records (1).csv,,,,unclear,acupuncture plus possible brain/neuroimaging term; verify abstract,medium,acupuncture_term; possible_brain_neuro_term,needs abstract to determine neuroimaging eligibility,include_for_abstract,title suggests acupuncture plus functional MRI/neuroimaging/brain-network outcome,medium,acupuncture induced changes in locus coeruleus connectivity and memory improvement in patients with amnestic cognitive impairment
