pmid,contrast_id,contrast_label,contrast_type,contrast_category,method_category,arm_1,arm_2,analysis_method,analysis_scope,direction,n_subjects,disease_condition,title
16407533,contrast_pain_mask,all pretreatment high pain minus all pretreatment low pain on both placebo and control sides,pain intensity contrast (high pain > low pain); used as mask,other,whole_brain_activation,not_applicable,not_applicable,one-way ANOVA (within-subject) random-effects model; general linear model,whole_brain,high pain > low pain (increases),16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_placebo_gt_control_within_mask,placebo (post − pre) − control (post − pre); within mask,interaction: placebo vs control × post vs pre; within pain-intensity mask,sham_post_gt_pre,whole_brain_activation,arm_placebo,arm_control,one-way ANOVA (within-subject) random-effects model; contrast of fMRI signal change differences within mask,ROI,placebo > control (increases on placebo side relative to control),16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_control_gt_placebo_within_mask,control (post − pre) − placebo (post − pre); within mask,interaction: control vs placebo × post vs pre; within pain-intensity mask,deactivation,whole_brain_activation,arm_control,arm_placebo,one-way ANOVA (within-subject) random-effects model; contrast within mask,ROI,control > placebo (decreases on placebo side relative to control),16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_placebo_gt_control_outside_mask,placebo (post − pre) − control (post − pre); outside mask,interaction: placebo vs control × post vs pre; outside pain-intensity mask,sham_post_gt_pre,whole_brain_activation,arm_placebo,arm_control,one-way ANOVA (within-subject) random-effects model; contrast outside mask,whole_brain,placebo > control (increases on placebo side relative to control),16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_control_gt_placebo_outside_mask,control (post − pre) − placebo (post − pre); outside mask,interaction: control vs placebo × post vs pre; outside pain-intensity mask,deactivation,whole_brain_activation,arm_control,arm_placebo,one-way ANOVA (within-subject) random-effects model; contrast outside mask,whole_brain,control > placebo,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_correlation_negative,simple regression (correlation) analysis: placebo (post − pre) − control (post − pre) fMRI signal vs corresponding pain rating difference; negative correlation,simple regression (correlation) between fMRI signal change difference and subjective pain rating difference; negative correlation,correlation_clinical,correlation_brain_behavior,not_applicable,not_applicable,simple regression (correlation) analysis at second level; random-effects model,whole_brain,negative correlation (greater placebo analgesia = greater fMRI signal increase),16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_correlation_positive,simple regression (correlation) analysis: placebo (post − pre) − control (post − pre) fMRI signal vs corresponding pain rating difference; positive correlation,simple regression (correlation); positive correlation,correlation_clinical,correlation_brain_behavior,not_applicable,not_applicable,simple regression (correlation) analysis at second level,whole_brain,positive correlation,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_post_high_placebo_gt_control_within_mask,post-treatment high pain on placebo side > post-treatment high pain on control side; within mask,post-treatment high pain: placebo vs control; within pain-intensity mask; supplemental analysis,sham_post_gt_pre,whole_brain_activation,arm_placebo,arm_control,one-way ANOVA (within-subject); comparing only post-treatment pain on placebo and control sides,both,placebo > control (increases),16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,contrast_post_high_control_gt_placebo,post-treatment high pain on control side > post-treatment high pain on placebo side,post-treatment high pain: control vs placebo; supplemental analysis,deactivation,whole_brain_activation,arm_control,arm_placebo,one-way ANOVA (within-subject),both,control > placebo,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,16399_C1,"Brain areas activated during the comparison of fMRI signal change differences (after treatment > before treatment) between both placebo and control sides - Within mask, P > C",activation,sham_post_gt_pre,whole_brain_activation,Placebo (post - pre),Control (post - pre),activation,whole_brain,Placebo > Control,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,16399_C2,"Brain areas activated during the comparison of fMRI signal change differences (after treatment > before treatment) between both placebo and control sides - Within mask, C > P",activation,deactivation,whole_brain_activation,Control (post - pre),Placebo (post - pre),activation,whole_brain,Control > Placebo,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,16399_C3,Correlation analysis between the post-treatment and pretreatment subjective pain rating changes and fMRI signal changes on placebo and control sides - Negative correlation,activation,correlation_clinical,correlation_brain_behavior,Placebo (post - pre) - Control (post - pre) fMRI signal change,Corresponding pain rating difference,activation,whole_brain,Negative correlation,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,16399_C4,"Brain areas activated during the comparison of fMRI signal change evoked by post-treatment high pain on placebo and control sides - Within mask, P > C",activation,sham_post_gt_pre,whole_brain_activation,Placebo post-treatment high pain,Control post-treatment high pain,activation,whole_brain,Placebo > Control,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,16399_C5,Figure 2B caption - right anterior insula peak coordinate,activation,sham_post_gt_pre,whole_brain_activation,Placebo (post - pre),Control (post - pre),activation,whole_brain,Placebo > Control,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
16407533,16399_C6,Figure 2C caption - bilateral rACC peak coordinate,activation,sham_post_gt_pre,whole_brain_activation,Placebo (post - pre),Control (post - pre),activation,whole_brain,Placebo > Control,16,healthy volunteers; experimentally induced thermal pain,Brain Activity Associated with Expectancy-Enhanced Placebo Analgesia as Measured by Functional Magnetic Resonance Imaging
9482939,con_001,Visual stimulation of the eye – activation of visual cortex,task activation (on vs off),other,whole_brain_activation,arm_visual,not_applicable,correlation coefficient (cc) method for each pixel using box-car waveform as reference; activated pixels superimposed on anatomical images; time-course data derived by summing all activated data on each image,whole_brain,activation (signal intensity increase),12,Healthy volunteers; no disease condition,New findings of the correlation between acupoints and corresponding brain cortices using functional MRI
9482939,con_002,Acupuncture stimulation at VA1 – activation of occipital lobes,task activation (stimulation vs nonstimulation),verum_gt_rest,whole_brain_activation,arm_acupoint,not_applicable,correlation coefficient (cc) method for each pixel using box-car waveform as reference; activated pixels superimposed on anatomical images; time-course data derived by summing all activated data on each image,whole_brain,activation (positive correlation/'yin' character) and deactivation (negative correlation/'yang' character),12,Healthy volunteers; no disease condition,New findings of the correlation between acupoints and corresponding brain cortices using functional MRI
9482939,con_003,Nonacupoint stimulation (control) – no activation in occipital lobes,control condition (no activation observed),sham_gt_rest,whole_brain_activation,arm_nonacupoint,not_applicable,correlation coefficient (cc) method; same paradigm as acupuncture and visual experiments,whole_brain,no activation (null result),12,Healthy volunteers; no disease condition,New findings of the correlation between acupoints and corresponding brain cortices using functional MRI
9482939,con_004,"Acupuncture stimulation at VA1, VA2, VA3, VA8 – relative activation of occipital lobes",comparison of activation across vision-related acupoints,verum_gt_rest,whole_brain_activation,arm_acupoint,not_applicable,"correlation coefficient (cc) method; activation maps compared across VA1, VA2, VA3, VA8 and reference visual stimulation",whole_brain,"activation in primary visual cortex (V-1) for VA1, VA3, VA8; VA2 did not activate the primary visual cortex",12,Healthy volunteers; no disease condition,New findings of the correlation between acupoints and corresponding brain cortices using functional MRI
9482939,con_005,Acupuncture stimulation VA1 – 'yin' character subjects: positive signal intensity correlation with visual stimulation,subgroup activation analysis (yin character),verum_gt_rest,whole_brain_activation,arm_acupoint,not_applicable,correlation coefficient (cc); time-course signal intensity compared; yin subjects show same direction signal intensity variation as visual stimulation,whole_brain,positive (same direction as visual stimulation),12,Healthy volunteers; no disease condition,New findings of the correlation between acupoints and corresponding brain cortices using functional MRI
