record_id,database_source,title,original_pdf_collected,original_pdf_match_type,original_pdf_index,original_pdf_pmid,original_pdf_title,pdf_available_for_full_text_review,next_step,authors,year,journal,doi,pmid,duplicate_group_id,source_file,screening_decision,exclusion_reason,notes,ai_title_decision,ai_exclusion_reason,ai_confidence,ai_flags,ai_analysis_tier_hint,reevaluated_title_decision,reevaluated_title_reason,reevaluated_confidence,normalized_title,abstract,pubmed_title,pubmed_journal,pubmed_year,pubmed_doi,publication_types,mesh_terms,abstract_retrieval_status,abstract_source,title_abstract_screen_decision,title_abstract_exclusion_reason,title_abstract_confidence,human_participants_flag,acupuncture_like_intervention_flag,functional_brain_imaging_flag,original_empirical_data_flag,sham_or_placebo_flag,likely_coordinate_candidate_flag,needs_full_text_review,reviewer_notes
DUP_00258,Embase; PubMed,Acupuncture was associated with improved functional connectivity of the left hippocampal perceptual subregion in amnestic mild cognitive impairment,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Zhang J, Ou J, Chen J, Ma X, Lu X, Wu J, Li X, Lyu H, Liu Y, Xu J.",2026,Brain Imaging Behav,10.1007/s11682-026-01082-5,41806186.0,DUP_00258,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,acupuncture was associated with improved functional connectivity of the left hippocampal perceptual subregion in amnestic mild cognitive impairment,,Acupuncture was associated with improved functional connectivity of the left hippocampal perceptual subregion in amnestic mild cognitive impairment.,Brain imaging and behavior,2026,10.1007/s11682-026-01082-5,Journal Article,,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01933,Embase; PubMed,Understanding the multifaceted brain mechanisms of acupuncture based on neuroimaging studies: findings and insights from meta-analyses,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Kang B, Yoon DE, Ryu Y, Lee IS, Chae Y.",2025,Front Neurosci,10.3389/fnins.2025.1643302,40904730.0,DUP_01933,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,understanding the multifaceted brain mechanisms of acupuncture based on neuroimaging studies findings and insights from meta analyses,,Understanding the multifaceted brain mechanisms of acupuncture based on neuroimaging studies: findings and insights from meta-analyses.,Frontiers in neuroscience,2025,10.3389/fnins.2025.1643302,Journal Article,,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00618,PubMed,"Corrigendum to 'Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain' Neuroimage Clinical, 23, 2019, 101885",no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Tu Y, Ortiz A, Gollub RL, Cao J, Gerber J, Lang C, Park J, Wilson G, Shen W, Chan ST, Wasan AD, Edwards RR, Napadow V, Kaptchuk TJ, Rosen B, Kong J.",2019,Neuroimage Clin,10.1016/j.nicl.2019.102105,31791913.0,DUP_00618,PUBMED_0518.csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; sham_placebo_control_term; mechanism_deqi_pain_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,corrigendum to multivariate resting state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain neuroimage clinical 23 2019 101885,,"Corrigendum to 'Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain' Neuroimage Clinical, 23, 2019, 101885.",NeuroImage. Clinical,2019,10.1016/j.nicl.2019.102105,Published Erratum,,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,yes,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00181,Embase; PubMed,Acupuncture is not a unique explanation for functional magnetic resonance imaging finding,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,Wong YM.,2016,Intern Med J,10.1111/imj.13096,27405901.0,DUP_00181,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,acupuncture is not a unique explanation for functional magnetic resonance imaging finding,,Acupuncture is not a unique explanation for functional magnetic resonance imaging finding.,Internal medicine journal,2016,10.1111/imj.13096,Letter; Comment,Acupuncture; Acupuncture Therapy; Brain; Humans; Magnetic Resonance Imaging,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00101,Embase; PubMed,Acupuncture and brain imaging: what do we have to consider?,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,Chae Y.,2012,Acupunct Med,10.1136/acupmed-2012-010220,23086979.0,DUP_00101,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,acupuncture and brain imaging what do we have to consider,,Acupuncture and brain imaging: what do we have to consider?,Acupuncture in medicine : journal of the British Medical Acupuncture Society,2012,10.1136/acupmed-2012-010220,"Editorial; Introductory Journal Article; Research Support, Non-U.S. Gov't",Acupuncture Therapy; Brain; Brain Diseases; Humans; Neuroimaging; Radiography,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00610,Embase; PubMed,Correspondence on ''functional magnetic resonance imaging activation of the brain in children: real acupoint versus sham acupoint'',no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,Wong YM.,2011,J Child Neurol,10.1177/0883073810389608,21285044.0,DUP_00610,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; sham_placebo_control_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,correspondence on functional magnetic resonance imaging activation of the brain in children real acupoint versus sham acupoint,,Correspondence on ''functional magnetic resonance imaging activation of the brain in children: real acupoint versus sham acupoint''.,Journal of child neurology,2011,10.1177/0883073810389608,Comment; Letter,Acupuncture Points; Brain; Child; Humans; Magnetic Resonance Imaging,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,yes,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00621,Embase; PubMed,Cortical activation by Yamamoto new scalp acupuncture in the treatment of patients with a stroke: a sham-controlled study using functional MRI,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Schockert T, Schnitker R, Boroojerdi B, Smith IQ, Yamamoto T, Vietzke K, Kastrau F.",2010,Acupunct Med,10.1136/aim.2010.002683,20923941.0,DUP_00621,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; sham_placebo_control_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,cortical activation by yamamoto new scalp acupuncture in the treatment of patients with a stroke a sham controlled study using functional mri,,Cortical activation by Yamamoto new scalp acupuncture in the treatment of patients with a stroke: a sham-controlled study using functional MRI.,Acupuncture in medicine : journal of the British Medical Acupuncture Society,2010,10.1136/aim.2010.002683,Controlled Clinical Trial; Letter,Acupuncture Points; Acupuncture Therapy; Brain Mapping; Humans; Magnetic Resonance Imaging; Physical Stimulation; Prefrontal Cortex; Scalp; Stroke Rehabilitation; Treatment Outcome,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,yes,yes,yes,yes,yes,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_00609,Embase; PubMed,Correspondence on ''effect of acupuncture on the brain in children with spastic cerebral palsy using functional neuroimaging (fMRI)'',no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Wong M, Ming Y.",2009,J Child Neurol,10.1177/0883073809336117,19805828.0,DUP_00609,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,correspondence on effect of acupuncture on the brain in children with spastic cerebral palsy using functional neuroimaging fmri,,Correspondence on ''effect of acupuncture on the brain in children with spastic cerebral palsy using functional neuroimaging (fMRI)''.,Journal of child neurology,2009,10.1177/0883073809336117,Comment; Letter,"Acupuncture Therapy; Biomedical Research; Brain; Cerebral Palsy; Child, Preschool; Humans; Magnetic Resonance Imaging; Reproducibility of Results; Safety",no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01327,PubMed,Needling sensation: explanation of incongruent conclusion drawn from acupuncture FMRI study,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,"Ho TJ, Duann JR, Shen WC, Lin JG.",2007,J Altern Complement Med,10.1089/acm.2006.6217,17309370.0,DUP_01327,PUBMED_0518.csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,needling sensation explanation of incongruent conclusion drawn from acupuncture fmri study,,Needling sensation: explanation of incongruent conclusion drawn from acupuncture FMRI study.,"Journal of alternative and complementary medicine (New York, N.Y.)",2007,10.1089/acm.2006.6217,Letter,Acupuncture Points; Acupuncture Therapy; Adult; Clinical Trials as Topic; Female; Humans; Magnetic Resonance Imaging; Male; Needles; Perception; Qi; Sensation,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,PubMed review type but has acupuncture+fMRI terms; keeping; Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01606,Embase; PubMed,Retraction. New findings of the correlation between acupoints and corresponding brain cortices using functional MRI,no,no_match,,,,no,abstract_review_then_retrieve_pdf_if_eligible,,2006,Proc Natl Acad Sci U S A,10.1073/pnas.0602520103,16790551.0,DUP_01606,PUBMED_0518.csv; records (1).csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,retraction new findings of the correlation between acupoints and corresponding brain cortices using functional mri,,Retraction. New findings of the correlation between acupoints and corresponding brain cortices using functional MRI.,Proceedings of the National Academy of Sciences of the United States of America,2006,10.1073/pnas.0602520103,Retraction Notice,,no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,no,no,yes,Acupuncture+fMRI terms present in title; abstract limited; No abstract available (no_abstract_in_pubmed); decision based on title only
DUP_01061,PubMed,Functional magnetic resonance imaging of real and sham acupuncture. Noninvasively measuring cortical activation from acupuncture,yes,pmid_match,5.0,15825843.0,Functional magnetic resonance imaging of real and sham acupuncture. Noninvasively measuring cortical activation from acupuncture,yes,full_text_review_existing_pdf,"Parrish TB, Schaeffer A, Catanese M, Rogel MJ.",2005,IEEE Eng Med Biol Mag,10.1109/memb.2005.1411346,15825843.0,DUP_01061,PUBMED_0518.csv,,,,include,title/metadata indicates acupuncture plus fMRI/functional neuroimaging,high,acupuncture_term; strong_fMRI_neuroimaging_term; sham_placebo_control_term,systematic review / possible fMRI candidate,include,carried over from first title screen,high,functional magnetic resonance imaging of real and sham acupuncture noninvasively measuring cortical activation from acupuncture,,Functional magnetic resonance imaging of real and sham acupuncture. Noninvasively measuring cortical activation from acupuncture.,IEEE engineering in medicine and biology magazine : the quarterly magazine of the Engineering in Medicine & Biology Society,2005,10.1109/memb.2005.1411346,Clinical Trial; Journal Article; Randomized Controlled Trial,"Acupuncture; Acupuncture Therapy; Brain Mapping; Cerebral Cortex; Evoked Potentials, Somatosensory; Humans; Image Interpretation, Computer-Assisted; Magnetic Resonance Imaging; Physical Stimulation",no_abstract_in_pubmed,pubmed,include_for_full_text,,low,unclear,yes,yes,yes,yes,no,yes,PDF already collected; abstract may be limited; No abstract available (no_abstract_in_pubmed); decision based on title only
