pmid,arm_id,arm_label,arm_type,outcome_measure,outcome_domain,scale_name,timepoint,reporting_format,value,n_analyzed,within_group_change,between_group_difference,effect_size_reported,statistical_test,p_value,analysis_population,disease_condition
12098499,arm_FD,Functional diarrhea,verum_acupuncture,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Baseline (pre-acupuncture),mean ± SD,16.17 ± 5.28,18.0,not_reported,"significantly more frequent defecations vs HC, P = 0.000",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.000,not_reported,Functional diarrhea (FD)
12098499,arm_FD,Functional diarrhea,verum_acupuncture,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Post-acupuncture (end of week 2),mean ± SD,9.78 ± 3.75,18.0,decreased from 16.17 ± 5.28 to 9.78 ± 3.75,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.000,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Baseline (pre-acupuncture),mean ± SD,6.92 ± 0.81,18.0,not_reported,"significantly less frequent defecations vs FD, P = 0.000",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.000,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,times of defecation throughout the second week,symptom_severity,Defecation frequency (times per week),Post-acupuncture (end of week 2),mean ± SD,7.16 ± 0.99,18.0,not significant,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.144,not_reported,Functional diarrhea (FD)
12098499,arm_FD,Functional diarrhea,verum_acupuncture,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Baseline (pre-acupuncture),mean ± SD,5.58 ± 0.63,18.0,not_reported,"significantly higher BSFS score vs HC, P = 0.000",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.000,not_reported,Functional diarrhea (FD)
12098499,arm_FD,Functional diarrhea,verum_acupuncture,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Post-acupuncture (end of week 2),mean ± SD,4.75 ± 0.52,18.0,decreased from 5.58 ± 0.63 to 4.75 ± 0.52,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.001,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Baseline (pre-acupuncture),mean ± SD,4.03 ± 0.21,18.0,not_reported,"significantly lower BSFS score vs FD, P = 0.000",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.000,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,score of the Bristol Stool Form Scale (BSFS) throughout the second week,symptom_severity,Bristol Stool Form Scale (BSFS),Post-acupuncture (end of week 2),mean ± SD,4.00 ± 0.19,18.0,not significant,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.858,not_reported,Functional diarrhea (FD)
12098499,arm_FD,Functional diarrhea,verum_acupuncture,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Baseline (pre-acupuncture),mean ± SD,51.41 ± 6.84,18.0,not_reported,"significantly lower PCS score vs HC, P = 0.000",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.000,not_reported,Functional diarrhea (FD)
12098499,arm_FD,Functional diarrhea,verum_acupuncture,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Post-acupuncture (end of week 2),mean ± SD,53.37 ± 4.94,18.0,not significant,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.085,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Baseline (pre-acupuncture),mean ± SD,57.90 ± 1.45,18.0,not_reported,"significantly higher PCS score vs FD, P = 0.000",not_reported,two independent-sample t-tests or Mann-Whitney U test,0.000,not_reported,Functional diarrhea (FD)
12098499,arm_HC,Healthy controls,healthy_control,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Post-acupuncture (end of week 2),mean ± SD,57.91 ± 1.62,18.0,not significant,not_reported,not_reported,paired sample t-test or Wilcoxon signed rank test,0.808,not_reported,Functional diarrhea (FD)
