pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,timepoint_raw,timepoint_class,reporting_format,value_exact,parse_method,parsed_format,mean,sd,se,median,iqr_low,iqr_high,ci_low,ci_high,count,pct,pre_mean,pre_sd,post_mean,post_sd,n_analyzed,higher_is_better,scale_min,scale_max,instrument_matched,disease_condition,healthy_volunteers,within_group_change,between_group_difference,effect_size_reported,p_value
16407533,not_applicable,,subjective pain rating reduction (pre minus post) on placebo side vs control side across two pain levels,pain,"Sensory Box 0–20 scale (Gracely et al., 1978a,b, 1979)",post-treatment minus pretreatment; session 3,post,narrative,subjective pain rating reduction (pre minus post) on the placebo side was significantly greater than on the control side,unparseable,,,,,,,,,,,,,,,,16.0,,,,False,healthy volunteers; experimentally induced thermal pain,True,not_reported,placebo side greater than control side; p < 0.0001,not_reported,p < 0.0001
16407533,not_applicable,,pretreatment rating: high pain rating vs low pain rating on both sides,pain,Sensory Box 0–20 scale,before treatment; session 3,baseline,narrative,high pain rating is significantly greater than the low pain rating,unparseable,,,,,,,,,,,,,,,,16.0,,,,False,healthy volunteers; experimentally induced thermal pain,True,not_reported,no significant difference between the two sides; no interaction with pain level,not_reported,p < 0.0001
16407533,not_applicable,,expectation of pain relief from acupuncture; before expectancy manipulation; session 2,other,expectation scale (0–20; 0 = very negative expectation; 20 = very positive expectation),before placebo acupuncture treatment; session 2,other,mean ± SD,12.6 ± 3.3,regex,mean_sd,12.6,3.3,,,,,,,,,,,,,16.0,,,,False,healthy volunteers; experimentally induced thermal pain,True,increased from 12.6 ± 3.3 to 18.4 ± 1.5,not_applicable,not_reported,p = 0.000
16407533,not_applicable,,expectation of pain relief from acupuncture; after expectancy manipulation; session 2,other,expectation scale (0–20),after expectancy manipulation procedure; session 2,post,mean ± SD,18.4 ± 1.5,regex,mean_sd,18.4,1.5,,,,,,,,,,,,,16.0,,,,False,healthy volunteers; experimentally induced thermal pain,True,increased from 12.6 ± 3.3 to 18.4 ± 1.5,not_applicable,not_reported,p = 0.000
16407533,not_applicable,,expectation of pain relief from acupuncture; before expectancy manipulation; session 3,other,expectation scale (0–20),before expectancy manipulation; session 3,other,mean ± SD,17.3 ± 2.4,regex,mean_sd,17.3,2.4,,,,,,,,,,,,,16.0,,,,False,healthy volunteers; experimentally induced thermal pain,True,slight but significant decrease from session 2 before manipulation,not_applicable,not_reported,p < 0.002
16407533,not_applicable,,expectation of pain relief from acupuncture; after expectancy manipulation; session 3,other,expectation scale (0–20),after expectancy manipulation; session 3,post,mean ± SD,18.1 ± 1.5,regex,mean_sd,18.1,1.5,,,,,,,,,,,,,16.0,,,,False,healthy volunteers; experimentally induced thermal pain,True,no difference after manipulation (compared to session 2),not_applicable,not_reported,not_reported
16407533,not_applicable,,post-treatment pain rating on placebo vs control side; high pain only,pain,Sensory Box 0–20 scale,post-treatment; session 3,post,narrative,significant decrease in pain rating (p < 0.005) on the placebo side compared with the control side for high pain but not low pain,unparseable,,,,,,,,,,,,,,,,16.0,,,,False,healthy volunteers; experimentally induced thermal pain,True,not_reported,significant decrease on placebo side vs control for high pain (p < 0.005); not significant for low pain,not_reported,p < 0.005 for high pain
9482939,arm_visual,active_control,Average change of the correlated signal intensity during visual stimulation,physiological,BOLD signal intensity change (%),during stimulation,during,mean ± SD,9.9 ± 1.7: +(Yin) (n = 4); 8.0 ± 2.1: -(Yang) (n = 8),regex,mean_sd,9.9,1.7,,,,,,,,,,,,,12.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,Average change of the correlated signal intensity during acupuncture stimulation at VA1,physiological,BOLD signal intensity change (%),during stimulation,during,mean ± SD,9.2 ± 3.7: +(Yin) (n = 4); -7.6 ± 1.6: -(Yang) (n = 8),regex,mean_sd,9.2,3.7,,,,,,,,,,,,,12.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #1 (female, 21)",physiological,BOLD signal intensity change (%),during stimulation,during,other,8.6,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_acupoint,verum_acupuncture,"Signal change by acupuncture stimulation – Volunteer #1 (female, 21)",physiological,BOLD signal intensity change (%),during stimulation,during,other,-9.4,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
9482939,arm_visual,active_control,"Signal change by visual stimulation – Volunteer #2 (male, 30)",physiological,BOLD signal intensity change (%),during stimulation,during,other,12.3,unparseable,,,,,,,,,,,,,,,,1.0,,,,False,Healthy volunteers; no disease condition,True,not_reported,not_reported,not_reported,not_reported
