pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,baseline_mean,baseline_sd,post_mean,n,higher_is_better,g_raw,g_corrected,source,disease_condition
35153654,arm_tinnitus,verum_acupuncture,tinnitus disturbance inventory (TDI),symptom_severity,tinnitus disturbance inventory (TDI),3.07,0.51,2.43,14,False,1.2549,1.1811,pre_post_field,chronic tinnitus
35153654,arm_tinnitus,verum_acupuncture,visual analog scales (VAS),symptom_severity,visual analog scales (VAS),5.64,0.59,4.5,14,False,1.9322,1.8185,pre_post_field,chronic tinnitus
35153654,arm_tinnitus,verum_acupuncture,tinnitus handicap inventory (THI),symptom_severity,tinnitus handicap inventory (THI),52.0,7.14,46.71,14,False,0.7409,0.6973,pre_post_field,chronic tinnitus
35153654,arm_tinnitus,verum_acupuncture,Khalfa hyperacusis questionnaire (KHQ),symptom_severity,Khalfa hyperacusis questionnaire (KHQ),48.43,6.17,43.36,14,False,0.8217,0.7734,pre_post_field,chronic tinnitus
24459533,arm_FD,verum_acupuncture,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,45.7,10.78,45.01,18,True,-0.064,-0.0611,paired_timepoints,Functional diarrhea (FD)
24459533,arm_FD,verum_acupuncture,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,51.41,6.84,53.37,18,True,0.2865,0.2737,paired_timepoints,Functional diarrhea (FD)
24459533,arm_HC,healthy_control,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,54.47,4.54,55.07,18,True,0.1322,0.1262,paired_timepoints,Functional diarrhea (FD)
24459533,arm_HC,healthy_control,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,57.9,1.45,57.91,18,True,0.0069,0.0066,paired_timepoints,Functional diarrhea (FD)
24915066,arm_A,verum_acupuncture,Frequency of migraine attacks per 4 weeks,symptom_severity,headache diary; number of migraine episodes separated by pain-free intervals of at least 48 hours,6.83,4.21,4.35,40,False,0.5891,0.5777,paired_timepoints,migraine without aura
24915066,arm_A,verum_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire (six-item short-form survey for measuring headache impact),58.1,6.81,47.25,40,False,1.5932,1.5624,paired_timepoints,migraine without aura
24915066,arm_A,verum_acupuncture,Number of days with migraine (days) per 4 weeks,symptom_severity,headache diary,9.85,7.94,5.56,40,False,0.5403,0.5298,paired_timepoints,migraine without aura
24915066,arm_A,verum_acupuncture,VAS score,pain,Visual Analogue Scale (VAS) score 0–10,5.11,1.75,3.8,40,False,0.7486,0.7341,paired_timepoints,migraine without aura
24915066,arm_B,sham_acupuncture,Frequency of migraine attacks per 4 weeks,symptom_severity,headache diary; number of migraine episodes separated by pain-free intervals of at least 48 hours,5.98,3.72,3.92,40,False,0.5538,0.543,paired_timepoints,migraine without aura
24915066,arm_B,sham_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire,58.13,7.12,49.69,40,False,1.1854,1.1625,paired_timepoints,migraine without aura
24915066,arm_B,sham_acupuncture,Number of days with migraine (days) per 4 weeks,symptom_severity,headache diary,9.73,7.62,4.91,40,False,0.6325,0.6203,paired_timepoints,migraine without aura
24915066,arm_B,sham_acupuncture,VAS score,pain,Visual Analogue Scale (VAS) score 0–10,5.23,1.78,4.64,40,False,0.3315,0.325,paired_timepoints,migraine without aura
25916336,arm_MWoA,verum_acupuncture,VAS scores,pain,visual analogue scale (VAS),5.5,1.3,2.7,12,False,2.1538,2.0036,paired_timepoints,Migraine without aura (MWoA)
26839078,AG,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,6.3,3.443070578168185,5.17,46,False,0.3282,0.3227,paired_timepoints,Migraine without aura (MwoA)
26839078,AG,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",5.42,1.1938284919276612,3.51,46,False,1.5999,1.5731,paired_timepoints,Migraine without aura (MwoA)
26839078,AG,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),45.73,8.737440411934333,39.18,46,False,0.7496,0.7371,paired_timepoints,Migraine without aura (MwoA)
26839078,AG,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),45.3,11.315417880010013,40.45,46,False,0.4286,0.4214,paired_timepoints,Migraine without aura (MwoA)
26839078,SA,sham_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,6.45,3.5789088936743223,6.45,11,False,-0.0,-0.0,paired_timepoints,Migraine without aura (MwoA)
26839078,SA,sham_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",5.18,1.6752339502305331,4.04,11,False,0.6805,0.6282,paired_timepoints,Migraine without aura (MwoA)
26839078,SA,sham_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),45.68,9.019188843160345,38.02,11,False,0.8493,0.784,paired_timepoints,Migraine without aura (MwoA)
26839078,SA,sham_acupuncture,SDS score,mood,self-rating depression scale (SDS),44.27,11.61664754377032,37.34,11,False,0.5966,0.5507,paired_timepoints,Migraine without aura (MwoA)
26839078,VA1,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,5.91,3.4266148981988187,4.18,11,False,0.5049,0.466,paired_timepoints,Migraine without aura (MwoA)
26839078,VA1,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",5.45,1.5483222873342812,3.18,11,False,1.4661,1.3533,paired_timepoints,Migraine without aura (MwoA)
26839078,VA1,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),45.05,9.010728065633929,39.2,11,False,0.6492,0.5993,paired_timepoints,Migraine without aura (MwoA)
26839078,VA1,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),42.41,13.30034227152727,41.93,11,False,0.0361,0.0333,paired_timepoints,Migraine without aura (MwoA)
26839078,VA2,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,7.45,4.103477100312166,6.18,11,False,0.3095,0.2857,paired_timepoints,Migraine without aura (MwoA)
26839078,VA2,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",5.32,1.0829795233813553,3.73,11,False,1.4682,1.3552,paired_timepoints,Migraine without aura (MwoA)
26839078,VA2,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),45.27,9.40838460937552,41.77,11,False,0.372,0.3434,paired_timepoints,Migraine without aura (MwoA)
26839078,VA2,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),50.86,9.68759026774728,43.86,11,False,0.7226,0.667,paired_timepoints,Migraine without aura (MwoA)
26839078,VA3,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,5.54,4.019453845351436,4.08,13,False,0.3632,0.34,paired_timepoints,Migraine without aura (MwoA)
26839078,VA3,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",5.69,1.0485531770482006,3.15,13,False,2.4224,2.2678,paired_timepoints,Migraine without aura (MwoA)
26839078,VA3,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),46.75,11.497293607984659,37.96,13,False,0.7645,0.7157,paired_timepoints,Migraine without aura (MwoA)
26839078,VA3,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),43.9,13.750763155149654,38.92,13,False,0.3622,0.339,paired_timepoints,Migraine without aura (MwoA)
26839078,WT,waitlist,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,4.31,2.857142857142857,8.63,16,False,-1.512,-1.4351,paired_timepoints,Migraine without aura (MwoA)
