file_pmid,actual_pmid,status,similarity,extracted_author,extracted_year,extracted_title
12098499,24459533,remapped,1.0,Siyuan Zhou,2013,Influence of Acupuncture Stimulation on Cerebral Network in Functional Diarrhea
12202090,35153654,remapped,1.0,Wei,2022,Acupuncture Treatment Decreased Temporal Variability of Dynamic Functional Connectivity in Chronic Tinnitus
15193624,40634927,remapped,1.0,Wei,2025,Effect of acupuncture treatment for patients with knee osteoarthritis on brain fluctuation amplitude and functional conn
15499576,39089662,remapped,1.0,Wei,2024,Acupuncture Modulation of Chronic Neuropathic Pain and Its Association With Brain Functional Properties
15825843,33776442,remapped,1.0,Xiang-yu Wei,2021,The Instant and Sustained Effect of Electroacupuncture in Postgraduate Students with Depression: An fMRI Study
15876491,40974865,remapped,1.0,Zhuo-Nan Wang,2025,Acupuncture effect on brain default mode network connectivity in breast cancer patients with hot flashes: A randomized c
16046146,29343693,remapped,1.0,Meena M. Makary,2018,Phantom Acupuncture Induces Placebo Credibility and Vicarious Sensations: A Parallel fMRI Study of Low Back Pain Patient
16407533,28334999,remapped,1.0,Maeda,2017,Rewiring the primary somatosensory cortex in carpal tunnel syndrome with acupuncture
16790551,16790551,correct,1.0,"Cho, Z. H.",1998,New findings of the correlation between acupoints and corresponding brain cortices using functional MRI
17240066,21080967,remapped,1.0,Zyloney,2010,Imaging the functional connectivity of the Periaqueductal Gray during genuine and sham electroacupuncture treatment
17604556,31011330,remapped,1.0,Yan Zou,2019,Acupuncture Reversible Effects on Altered Default Mode Network of Chronic Migraine Accompanied with Clinical Symptom Rel
17990299,26467429,remapped,1.0,Zhu,2015,Acupuncture at KI3 in healthy volunteers induces specific cortical functional activity: an fMRI study
18054726,38249582,remapped,1.0,Zhou,2024,Immediate neural effects of acupuncture manipulation time for stroke with motor dysfunction: a fMRI pilot study
18337009,36890655,remapped,1.0,Zhou,2023,Modulation effects of different treatments on periaqueductal gray resting state functional connectivity in knee osteoart
18571795,41351443,remapped,1.0,"Zhou, Hang",2025,Brain Connectivity and Topological Reorganization of Multiple Functional Networks in Subjective Cognitive Decline After 
18606019,27688791,remapped,1.0,Yu Zheng,2016,"Acupuncture Decreases Blood Pressure Related to Hypothalamus Functional Connectivity with Frontal Lobe, Cerebellum, and "
18684074,28480365,remapped,1.0,Yu Zheng,2016,IMAGING OF BRAIN FUNCTION BASED ON THE ANALYSIS OF FUNCTIONAL CONNECTIVITY - IMAGING ANALYSIS OF BRAIN FUNCTION BY FMRI 
19014532,29763448,remapped,1.0,Zheng,2018,Modulation of functional activity and connectivity by acupuncture in patients with Alzheimer disease as measured by rest
19061937,34720908,remapped,1.0,Zhao,2021,Networks Are Associated With Acupuncture Treatment in Patients With Diarrhea-Predominant Irritable Bowel Syndrome: A Res
19159691,24915066,remapped,1.0,Zhao,2014,Effects of Long-Term Acupuncture Treatment on Resting-State Brain Activity in Migraine Patients: A Randomized Controlled
19345268,41601526,remapped,1.0,Zhang,2026,Localization of brain networks activated by acupuncture at anatomically adjacent acupoints in healthy participants: neur
19427842,39468590,remapped,1.0,Zhang,2024,Acupuncture-assisted lifestyle intervention improve the metabolic status and spontaneous brain activity of type 2 diabet
19500677,36530635,remapped,1.0,Zhang Y,2022,Acupuncture decreases amygdala functional connectivity in subjective tinnitus
19501656,34671239,remapped,1.0,Zhang,2021,Regulatory Effects of Acupuncture on Emotional Disorders in Patients With Menstrual Migraine Without Aura: A Resting-Sta
19559684,19559684,correct,1.0,Hui,2009,Acupuncture mobilizes the brain's default mode and its anti-correlated network in healthy subjects
19595739,24734113,remapped,1.0,Yong Zhang,2014,Acupuncture Modulates the Functional Connectivity of the Default Mode Network in Stroke Patients
19666085,40963943,remapped,1.0,Zhang,2025,Tension-type headache patients' brain responses to instant acupuncture stimulation: a functional magnetic resonance imag
20027574,41591775,remapped,1.0,"Zhang, Xinyu",2026,Acupuncture for Migraine Without Aura and Connection-Based Efficacy Prediction: A Randomized Clinical Trial
20071124,29563830,remapped,1.0,Zhang,2018,Different mechanisms of contralateral- or ipsilateral-acupuncture to modulate the brain activity in patients with unilat
20423216,30719061,remapped,1.0,Jiping Zhang,2019,Different Brain Activation after Acupuncture at Combined Acupoints and Single Acupoint in Hypertension Patients: An Rs-f
20573575,40881782,remapped,1.0,Chunxia Zhang,2025,Interactive dynamic scalp acupuncture enhances brain functional connectivity in bilateral basal ganglia ischemic stroke 
20838644,38585348,remapped,1.0,Zha,2024,Modulations of resting-static functional connectivity on insular by electroacupuncture in subjective tinnitus
20953400,42077350,remapped,1.0,Yu,2026,Cerebral blood flow and functional connectivity immediate changes following intradermal acupuncture in major depressive 
21080967,41602988,remapped,1.0,Yu,2026,Alterations in neuroplasticity and functional connectivity of striatal subregions in Bell's palsy patients after acupunc
21616623,33013312,remapped,1.0,Yu,2020,Resting-State Functional Connectivity Patterns Predict Acupuncture Treatment Response in Primary Dysmenorrhea
22197696,40022556,remapped,1.0,Liyong Yu,2025,Cerebral Blood Flow Changes and Their Spatial Correlations With GABAa and Dopamine-D1 Receptor Explaining Individual Dif
22291848,22291848,correct,1.0,Fang,2012,The Limbic-Prefrontal Network Modulated by Electroacupuncture at CV4 and CV12
22504841,39499594,remapped,1.0,Haitao Yu,2024,Spatiotemporal Dynamics of Periodic and Aperiodic Brain Activity Under Peripheral Nerve Stimulation With Acupuncture
22761766,23691237,remapped,1.0,You,2013,Altered Hub Configurations within Default Mode Network following Acupuncture at ST36: A Multimodal Investigation Combini
22800833,37804240,remapped,1.0,Da-Eun Yoon,2023,Graded brain fMRI response to somatic and visual acupuncture stimulation
22837879,40584525,remapped,1.0,Han Yingmei,2025,Exploring the changes in functional connectivity of the limbic system in Patients with amnestic mild cognitive impairmen
23152865,37584456,remapped,1.0,Tao Yin,2023,Clinical-functional brain connectivity signature predicts longitudinal symptom improvement after acupuncture treatment i
23222890,32908491,remapped,1.0,Yin,2020,Machine Learning in Neuroimaging: A New Approach to Understand Acupuncture for Neuroplasticity
23666154,35965072,remapped,1.0,Tao Yin,2023,Predicting acupuncture efficacy for functional dyspepsia based on functional brain network features: a machine learning 
