pmid,arm_id,arm_type,outcome_measure,outcome_domain,scale_name,disease_condition,n,direction,baseline_mean,baseline_sd,post_mean,R_within,R_controlled,POMP_baseline,POMP_post,POMP_change
35153654,arm_tinnitus,verum_acupuncture,tinnitus disturbance inventory (TDI),symptom_severity,tinnitus disturbance inventory (TDI),chronic tinnitus,14,-1,3.07,0.51,2.43,1.1811,,,,
35153654,arm_tinnitus,verum_acupuncture,visual analog scales (VAS),symptom_severity,visual analog scales (VAS),chronic tinnitus,14,-1,5.64,0.59,4.5,1.8185443668993015,,56.4,45.0,11.399999999999999
35153654,arm_tinnitus,verum_acupuncture,tinnitus handicap inventory (THI),symptom_severity,tinnitus handicap inventory (THI),chronic tinnitus,14,-1,52.0,7.14,46.71,0.6973142198055692,,52.0,46.71,5.289999999999999
35153654,arm_tinnitus,verum_acupuncture,Khalfa hyperacusis questionnaire (KHQ),symptom_severity,Khalfa hyperacusis questionnaire (KHQ),chronic tinnitus,14,-1,48.43,6.17,43.36,0.7733816379063781,,,,
24459533,arm_FD,verum_acupuncture,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,Functional diarrhea (FD),18,1,45.7,10.78,45.01,-0.0611,,45.7,45.01,-0.6900000000000048
24459533,arm_FD,verum_acupuncture,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Functional diarrhea (FD),18,1,51.41,6.84,53.37,0.2737191236798465,,51.41,53.37,1.9600000000000009
24459533,arm_HC,healthy_control,mental component summary (MCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - MCS,Functional diarrhea (FD),18,1,54.47,4.54,55.07,0.12624104148859258,,54.47,55.07,0.6000000000000014
24459533,arm_HC,healthy_control,physical component summary (PCS) score of the MOS 36-item Short Health Survey (SF-36),quality_of_life,MOS 36-item Short Health Survey (SF-36) - PCS,Functional diarrhea (FD),18,1,57.9,1.45,57.91,0.006587750900667757,,57.9,57.91,0.00999999999999801
24915066,arm_A,verum_acupuncture,Frequency of migraine attacks per 4 weeks,symptom_severity,headache diary; number of migraine episodes separated by pain-free intervals of at least 48 hours,migraine without aura,40,-1,6.83,4.21,4.35,0.5776722090261283,-0.30419572254947636,,,
24915066,arm_A,verum_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire (six-item short-form survey for measuring headache impact),migraine without aura,40,-1,58.1,6.81,47.25,1.5624082232011751,1.2564060459447954,,,
24915066,arm_A,verum_acupuncture,Number of days with migraine (days) per 4 weeks,symptom_severity,headache diary,migraine without aura,40,-1,9.85,7.94,5.56,0.5298448037702119,0.054211941376328676,,,
24915066,arm_A,verum_acupuncture,VAS score,pain,Visual Analogue Scale (VAS) score 0–10,migraine without aura,40,-1,5.11,1.75,3.8,0.7341,-0.5776527199334894,51.10000000000001,38.0,13.100000000000009
24915066,arm_B,sham_acupuncture,Frequency of migraine attacks per 4 weeks,symptom_severity,headache diary; number of migraine episodes separated by pain-free intervals of at least 48 hours,migraine without aura,40,-1,5.98,3.72,3.92,0.5430454387790496,,,,
24915066,arm_B,sham_acupuncture,HIT-6 score,quality_of_life,HIT-6 questionnaire,migraine without aura,40,-1,58.13,7.12,49.69,1.1624501631025739,,,,
24915066,arm_B,sham_acupuncture,Number of days with migraine (days) per 4 weeks,symptom_severity,headache diary,migraine without aura,40,-1,9.73,7.62,4.91,0.6203031072728813,,,,
24915066,arm_B,sham_acupuncture,VAS score,pain,Visual Analogue Scale (VAS) score 0–10,migraine without aura,40,-1,5.23,1.78,4.64,0.32504530627038825,,52.3,46.39999999999999,5.900000000000006
25916336,arm_MWoA,verum_acupuncture,VAS scores,pain,visual analogue scale (VAS),Migraine without aura (MWoA),12,-1,5.5,1.3,2.7,2.0036,,55.0,27.0,28.0
26839078,AG,verum_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Migraine without aura (MwoA),46,-1,6.3,3.443070578168185,5.17,0.3226949396736107,-0.3004988517650456,,,
26839078,AG,verum_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Migraine without aura (MwoA),46,-1,5.42,1.1938284919276612,3.51,1.57308092369556,-0.17089542944150907,54.2,35.1,19.1
26839078,AG,verum_acupuncture,SAS score,mood,self-rating anxiety scale (SAS),Migraine without aura (MwoA),46,-1,45.73,8.737440411934333,39.18,0.7370835347718706,0.5206932051883704,42.883333333333326,31.966666666666665,10.91666666666666
26839078,AG,verum_acupuncture,SDS score,mood,self-rating depression scale (SDS),Migraine without aura (MwoA),46,-1,45.3,11.315417880010012,40.45,0.4214351722903103,0.24798104832526244,42.16666666666666,34.083333333333336,8.083333333333321
26839078,SA,sham_acupuncture,Headache frequency,symptom_severity,number of migraines separated by pain free intervals of at least 48hours of headache,Migraine without aura (MwoA),11,-1,6.45,3.5789088936743223,6.45,-0.0,,,,
26839078,SA,sham_acupuncture,Headache intensity,pain,"visual analogue scale (VAS), 0–10",Migraine without aura (MwoA),11,-1,5.18,1.6752339502305331,4.04,0.6281556627734779,,51.8,40.4,11.399999999999999
