pmid,contrast_id,contrast_label,contrast_type,condition_1_type,condition_2_type,contrast_category,method_category,tissue_level,has_usable_coordinates,n_coordinates,direction,analysis_method,integrated_from
41351443,FC_GROUP_TIME_INTERACTION,significant group × time interaction effects in brain network functional connectivity,"group × time interaction (acupuncture group vs sham acupuncture group, pre vs post 12-week intervention)",baseline,baseline,group_comparison,network_ica,,False,0,two FCs within SMN increased in AG; three inter-network (SMN-CON) FCs decreased in AG,"mixed-effects models with random 5000-time permutation test; confirmed by repeated-measures GLM adjusting for age, sex, education, and head motion",
41351443,TOPO_NODAL_EFF,significant group × time interaction in nodal efficiency AUC of left parietal lobe,"group × time interaction (acupuncture group vs sham acupuncture group, pre vs post 12-week intervention)",baseline,baseline,group_comparison,graph_theory,,True,1,enhanced nodal efficiency in AG compared to SG,"Graph Theoretical Analysis in DPABINet Version 1.1; mixed-effects models with random 5000-time permutation test; confirmed by repeated-measures GLM adjusting for age, sex, education, head motion; AUC across sparsity range 10-34% with 1% step",
41351443,TOPO_BETWEENNESS,significant group × time interaction in betweenness AUC of right parietal lobe,"group × time interaction (acupuncture group vs sham acupuncture group, pre vs post 12-week intervention)",baseline,baseline,group_comparison,graph_theory,,True,1,significant decrease in betweenness in AG,"Graph Theoretical Analysis in DPABINet Version 1.1; mixed-effects models with random 5000-time permutation test; confirmed by repeated-measures GLM adjusting for age, sex, education, head motion; AUC across sparsity range 10-34% with 1% step",
41351443,TOPO_NON_SIG,non-significant group × time interaction in topological properties of remaining seven ROIs,"group × time interaction (non-significant results, reported for completeness)",baseline,baseline,group_comparison,graph_theory,,True,7,not significant,Graph Theoretical Analysis in DPABINet Version 1.1; mixed-effects models with random 5000-time permutation test,
41351443,CORR_FC_AVLT_AG,correlation between change in functional connectivity (middle insular to left PCC) and AVLT improvement in acupuncture group,correlation between change in FC and change in clinical outcome within AG,verum,not_applicable,correlation_clinical,correlation_brain_behavior,,False,0,negative correlation (decrease in FC associated with improvement in AVLT),Spearman correlation analysis,
41351443,CORR_FC_AVLT_SG,correlation between change in functional connectivity (middle insular to left PCC) and AVLT improvement in sham acupuncture group,correlation between change in FC and change in clinical outcome within SG,sham,not_applicable,correlation_clinical,correlation_brain_behavior,,False,0,not significant,Pearson correlation analysis,
41351443,18571795_C1,LV3 acupuncture > rest (activation),activation,verum,rest,verum_gt_rest,whole_brain_activation,,True,13,activation,activation,extraction_results.json
41351443,18571795_C2,LV2 acupuncture > rest (activation),activation,verum,rest,verum_gt_rest,whole_brain_activation,,True,13,activation,activation,extraction_results.json
41351443,18571795_C3,ST44 acupuncture > rest (activation),activation,verum,rest,verum_gt_rest,whole_brain_activation,,True,12,activation,activation,extraction_results.json
41351443,18571795_C4,Sham acupuncture > rest (activation),activation,sham,rest,sham_gt_rest,whole_brain_activation,3.0,True,12,activation,activation,extraction_results.json
41351443,18571795_C5,LV3 acupuncture > rest (deactivation),activation,verum,rest,deactivation,whole_brain_activation,,True,15,deactivation,activation,extraction_results.json
41351443,18571795_C6,LV2 acupuncture > rest (deactivation),activation,verum,rest,deactivation,whole_brain_activation,,True,15,deactivation,activation,extraction_results.json
41351443,18571795_C7,ST44 acupuncture > rest (deactivation),activation,verum,rest,deactivation,whole_brain_activation,,True,10,deactivation,activation,extraction_results.json
41351443,18571795_C8,Sham acupuncture > rest (deactivation),activation,sham,rest,deactivation,whole_brain_activation,,True,19,deactivation,activation,extraction_results.json
41351443,18571795_C9,LV2 vs Sham (one-way ANOVA),activation,verum,sham,verum_gt_sham,whole_brain_activation,,True,4,activation,activation,extraction_results.json
41351443,18571795_C10,ST44 vs Sham (one-way ANOVA),activation,verum,sham,verum_gt_sham,whole_brain_activation,,True,2,activation,activation,extraction_results.json
40974865,NR_01,BC-HF vs. NC: decreased FC at baseline,between-group comparison at baseline,baseline,baseline,group_comparison,roi_fc,,False,0,decreased FC in BC-HF compared with NC,ANOVA with post-hoc analysis (Bonferroni corrected),
40974865,NR_02,BC-NF vs. NC: reduced FC at baseline,between-group comparison at baseline,baseline,baseline,group_comparison,roi_fc,,False,0,reduced FC in BC-NF compared with NC,ANOVA with post-hoc analysis (Bonferroni corrected),
