pmid,arm_id,arm_type,construct,value,instrument,timepoint
16407533,not_applicable,,expectancy,12.6 ± 3.3,expectation scale (0–20; 0 = very negative expectation of pain relief; 20 = very positive expectation of pain relief),before placebo acupuncture treatment; session 2
16407533,not_applicable,,expectancy,18.4 ± 1.5,expectation scale (0–20),after expectancy manipulation procedure; session 2
16407533,not_applicable,,expectancy,17.3 ± 2.4,expectation scale (0–20),before expectancy manipulation; session 3
16407533,not_applicable,,expectancy,18.1 ± 1.5,expectation scale (0–20),after expectancy manipulation; session 3
16407533,not_applicable,,prior_acupuncture_experience,naive to acupuncture,not_reported,baseline/enrollment
16790551,not_applicable,,other,not_reported,not_reported,not_reported
17240066,not_applicable,,prior_acupuncture_experience,subjects were acupuncture-naive,not_reported,at enrollment
17240066,not_applicable,,blinding_success,"subjects were not informed of a sham acupuncture condition, only that there would be 'different forms' of acupuncture during fMRI",not_reported,during scanning
19559684,arm_tactile,active_control,blinding_success,"The participant was blinded to the study, being told that acupuncture was to be performed at different acupuncture points using different techniques, and the tests being performed could not be seen from the subject's supine position in the scanner",not_reported,Before stimulation
19559684,arm_acupuncture,verum_acupuncture,prior_acupuncture_experience,Acupuncture-naïve subjects,not_reported,Screening/enrollment
20423216,all_arms,,blinding_success,Participants did not know which doctor was performing acupuncture/sham and they were told that they would get acupuncture stimulations 4 times during fMRI scanning,not_reported,not_reported
20423216,arm_acupuncture,verum_acupuncture,prior_acupuncture_experience,"All subjects had previously experienced acupuncture treatments, since such treatments are very common in Korea",not_reported,Baseline/inclusion criterion
20838644,all_arms,,blinding_success,subjects could not differentiate between placebo (laser off) and verum laser (laser on) due to absence of skin sensation from low intensity laser,not_reported,not_reported
20838644,not_applicable,,prior_acupuncture_experience,Eight were acupuncture naive and two had had needle acupuncture more than 3 months previously and did not know what to expect from laser intervention,not_reported,baseline/screening
21080967,arm_genuine_HE,verum_acupuncture,expectancy,high expectancy; subjects surreptitiously received decreased temperatures to elicit reduced pain ratings and give subjects an unmistakable experience of analgesia during Session 2 to manipulate high expectancy,not_reported,Session 2 and Session 3; expectancy manipulation established prior to fMRI session
21080967,arm_genuine_LE,verum_acupuncture,expectancy,low expectancy; subjects received same pre-treatment heat stimuli as pre-treatment without temperature manipulation,not_reported,Session 2 and Session 3
21080967,not_applicable,,expectancy,no significant differences in connectivity between different contrasts of the two expectancy levels,not_reported,during EA stimulation
21080967,not_applicable,,prior_acupuncture_experience,all subjects were acupuncture naive,not_reported,baseline/enrollment
21794103,not_applicable,,blinding_success,Participants were prevented from viewing insertion and stimulation procedures through use of an opaque screen; told they would receive 'two different types' of acupuncture; no formal blinding assessment reported,not_reported,not_reported
21794103,not_applicable,,expectancy,not_reported,not_reported,not_reported
21794103,not_applicable,,credibility,not_reported,not_reported,not_reported
21794103,not_applicable,,other,Intentionally lacked control for attention and did not utilize concurrent sensory (i.e. non-EA or non-AP) stimuli,not_reported,not_reported
22291848,not_applicable,,expectancy,not_reported,not_reported,not_reported
22291848,not_applicable,,blinding_success,not_reported,not_reported,not_reported
22291848,not_applicable,,prior_acupuncture_experience,not_reported,not_reported,not_reported
22761766,not_applicable,,blinding_success,subjects were not informed of the order in which the two runs would be carried out; subjects were asked to keep their eyes closed to prevent them from actually observing the procedures,not_reported,not_reported
22761766,not_applicable,,prior_acupuncture_experience,All subjects were naïve to acupuncture,not_reported,screening
22916152,not_applicable,,expectancy,not_reported,not_reported,not_reported
23152865,arm_A arm_C,,credibility,not_reported (individual values not given; p = 0.42 for between-group comparison),credibility rating (0–6 Likert scale); QB: How confident are you that this treatment can alleviate your complaint?,before MRI scan (before treatment)
23152865,arm_A arm_C,,credibility,not_reported (individual values not given; p = 0.56 for between-group comparison),credibility rating (0–6 Likert scale); QA: How confident would you be in recommending this treatment to a friend who suffered from the same complaint?,after treatment
23152865,arm_A arm_C,,expectancy,not_reported,treatment instruction (TI): told they would receive acupuncture treatment which would surely benefit their myopia,before MRI scan
23152865,arm_B arm_D,,expectancy,not_reported,non-treatment instruction (NI): told they were participating in an experiment to estimate a medical machine's sensitivity of detecting tactile signals,before MRI scan
23152865,not_applicable,,prior_acupuncture_experience,all were acupuncture naive,acupuncture naive status,baseline (inclusion criterion)
23316257,all_arms,,prior_acupuncture_experience,All subjects were acupuncture-naive,not_reported,Screening/baseline
23316257,arm_tactile,active_control,blinding_success,"Because the subjects were acupuncture naive, they would be unable to discriminate the tactile stimulation control from real acupuncture until they experienced real acupuncture",not_reported,Pre-stimulation
23666154,not_applicable,,expectancy,not_reported,not_reported,not_reported
23691237,not_applicable,,prior_acupuncture_experience,All of them were acupuncture naïve,not_reported,screening
23840533,not_applicable,,prior_acupuncture_experience,participants naïve to acupuncture,not_reported,enrollment
