record_id,original_title,best_pmid,best_match_title,title_match_score,search_strategy,has_abstract,pubmed_doi,outcome
DUP_00347,Application and exploration of fNIRS in brain function mechanism of acupuncture against insomnia,,,0.0,,False,,no_match_found
DUP_00550,Clinical Efficacy of Electroacupuncture for Generalized Anxiety Disorder and Its Central Mechanism Based on Neuroimaging Changes,41281520,Efficacy of electroacupuncture for cervical spondylosis-related pain in patients with generalized anxiety disorder.,0.438,phrase_search,True,10.5498/wjp.v15.i11.108288,low_confidence_match
DUP_01247,Mechanism of Acupuncture at GB34 in Modulating Brain Functional Networks with Post-Stroke Hemiplegia: An Interpretable Graph Neural Network Study,24734113,Acupuncture modulates the functional connectivity of the default mode network in stroke patients.,0.263,phrase_search,True,10.1155/2014/765413,low_confidence_match
DUP_01766,The Effect of Acupuncture Therapy on Cognitive Function in Post-COVID-19 Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Study With Multimodal Magnetic Resonance Imaging,42136829,"Acupuncture for cognitive functions in post-COVID-19 condition: study protocol of a three-armed, randomized controlled trial with multimodal MRI.",0.429,phrase_search,True,10.3389/fmed.2026.1796351,low_confidence_match
DUP_01767,The Effect of Acupuncture Treatment on Cognitive Functions and Brain Networks for Long COVID: a Multimodal Magnetic Resonance Imaging Study,42136829,"Acupuncture for cognitive functions in post-COVID-19 condition: study protocol of a three-armed, randomized controlled trial with multimodal MRI.",0.4,phrase_search,True,10.3389/fmed.2026.1796351,low_confidence_match
DUP_00184,Acupuncture Modulates Brain Connectivity and Outcomes of Pain and Vaso-occlusive Crisis in Patients with Sickle Cell Disease,41086064,Immediate Modulations of Cheek Acupuncture on Brain Oscillations and Connectivity in Individuals With Chronic Pain.,0.5,phrase_search,True,10.1109/TNSRE.2025.3621122,possible_match
DUP_00240,Acupuncture Therapy for Insomnia: An Alternative Therapy for the Modulation of Brain Functions,40022556,Cerebral Blood Flow Changes and Their Spatial Correlations With GABAa and Dopamine-D1 Receptor Explaining Individual Differences in Chronic Insomnia and the Therapeutic Effects of Acupuncture.,0.364,key_phrases,True,10.1002/hbm.70183,low_confidence_match
DUP_00579,"Comparison of two electroacupuncture regimens on symptoms and brain structures in breast cancer survivors: A randomized, controlled trial.",31621251,[Catheter balloon dilation combined with acupuncture for cricopharyngeal achalasia after brain stem infarction: a randomized controlled trial].,0.278,short_title_field,True,10.13703/j.0255-2930.2019.10.001,low_confidence_match
DUP_00933,Electroacupuncture Links Nociceptive and Nociplastic Pain via Brain Activation in Fibromyalgia,41520025,Brain sensory network activity underlies reduced nociceptive initiated and nociplastic pain via acupuncture in fibromyalgia.,0.727,key_phrases,True,10.1038/s43856-025-01280-0,found_with_abstract
DUP_00326,Analgesic effect of electroacupuncture on pain in Parkinson's disease and mechanism based on rs-fMRI,32630156,Effect of Acupuncture on the p38 Signaling Pathway in Several Nervous System Diseases: A Systematic Review.,0.308,phrase_search,True,10.3390/ijms21134693,low_confidence_match
DUP_00327,Analgesic Effect of Electroacupuncture on Relieving Pain in Parkinson's disease (PD) and the Mechanism Based on RS-fMRI,,,0.0,,False,,no_match_found
DUP_00883,Efficacy and Mechanism Study of Acupuncture Combined With Neuromodulation Technology for Post-Stroke Aphasia Based on Multimodal Functional Magnetic Resonance Imaging,40772121,Effect of Acupuncture on Functional Connectivity of the Limbic Network in Patients with Knee Osteoarthritis: A Resting State Functional Magnetic Resonance Imaging Study.,0.45,phrase_search,True,10.2147/JPR.S519308,low_confidence_match
DUP_00885,Efficacy and Olfactory Network of Electro-acupuncture for Subjective Cognitive Decline: A Multicenter Randomized Controlled Trial and fMRI Study,,,0.0,,False,,no_match_found
DUP_00978,Evaluation of Therapeutic Effect and Brain Mechanism of Electroacupuncture in Treating Agitation Symptoms of Alzheimer's Disease,41232708,Effect of electroacupuncture on lncRNAs and mRNAs profiles of ischemic brain injury in middle cerebral artery occlusion rat model.,0.429,phrase_search,True,10.1016/j.neuroscience.2025.11.005,low_confidence_match
DUP_01256,Mechanistic investigation of acupuncture treatment in patients with migraine: Evidence from brain imaging study (I),,,0.0,,False,,no_match_found
DUP_01688,Study on Imaging Characteristics and Predictive Radiology of Brain Network Regulation by Acupuncture in Patients with Painful Temporomandibular Disorders,39427869,Multimodal investigation of dynamic brain network alterations in autism spectrum disorder: Linking connectivity dynamics to symptoms and developmental trajectories.,0.263,short_title_field,True,10.1016/j.neuroimage.2024.120895,low_confidence_match
DUP_01714,Temporal-Spatial Acupuncture Effects on Poststroke Sensorimotor Cortex via Yanglingquan (GB34),,,0.0,,False,,no_match_found
DUP_01929,Uncovering the mechanisms by which acupuncture improves motor function after stroke through neuroplasticity revealed by magnetic resonance imaging techniques,36781899,Electroacupuncture improves swallowing function in a post-stroke dysphagia mouse model by activating the motor cortex inputs to the nucleus tractus solitarii through the parabrachial nuclei.,0.333,short_title_field,True,10.1038/s41467-023-36448-6,low_confidence_match
DUP_00331,Analysis of changes in connectivity of resting brain functional network before and after acupuncture combined with language rehabilitation training in patients with basal ganglia aphasia after stroke,42131703,Functional connectivity changes in the thalamocortical network due to neck pain and the multiscale regulatory effects of acupuncture: a cross-scale multi-omics neuroimaging study.,0.348,phrase_search,True,10.3389/fnins.2026.1783910,low_confidence_match
DUP_00561,Cognitive Training to Enhance Brain-to-brain Concordance During Acupuncture,,,0.0,,False,,no_match_found
DUP_00613,"Corrigendum: Altered Functional Activity and Functional Connectivity of Seed Regions Based on ALFF Following Acupuncture Treatment in Patients with Stroke Sequelae with Unilateral Limb Numbness (Neuropsychiatr Dis Treat. 2023, 19, 233–245)",36819999,Erratum: Altered Functional Activity and Functional Connectivity of Seed Regions Based on ALFF Following Acupuncture Treatment in Patients with Stroke Sequelae with Unilateral Limb Numbness [Corrigendum].,0.793,phrase_search,True,10.2147/NDT.S408402,found_with_abstract
DUP_00616,"Corrigendum: Modulations of static and dynamic functional connectivity among brain networks by electroacupuncture in post-stroke aphasia (Front. Neurol., (2022), 13, 956931, 10.3389/fneur.2022.956931)",36846148,Corrigendum: Modulations of static and dynamic functional connectivity among brain networks by electroacupuncture in post-stroke aphasia.,0.727,phrase_search,True,10.3389/fneur.2023.1148220,found_with_abstract
DUP_01511,Probing the flexible internal state transition and low-dimensional manifold dynamics of human brain with acupuncture,,,0.0,,False,,no_match_found
DUP_00820,"Effects and Central Mechanism of Electroacupuncture and MRI-navigated rTMS for PSD: a fMRI-based Single-center, Randomized, Controlled, Assessor-blinded Trial",38250275,"Effects and central mechanism of electroacupuncture and MRI-navigated rTMS for PSD: study protocol for an fMRI-based single-center, randomized, controlled, open-label trial.",0.882,phrase_search,True,10.3389/fpsyt.2023.1226777,found_with_abstract
DUP_01182,Investigating the Effects of Autonomous Sensory Meridian Response (ASMR) Stimulation on the Functional Connectivity of the Default Mode Network,38742274,Autonomous Sensory Meridian Response (ASMR) and the Functions of Consciousness.,0.438,phrase_search,True,10.1111/cogs.13453,low_confidence_match
DUP_01569,Research on resting spontaneous brain activity and functional connectivity of acupuncture at uterine acupoints,42099977,Effects of non-invasive brain stimulation on spontaneous neural activity in post-stroke aphasia: a protocol for a coordinate-based meta-analysis of fALFF studies.,0.357,phrase_search,True,10.3389/fneur.2026.1820631,low_confidence_match
DUP_01684,Study on brain network function of the specific connection between Hégǔ (合谷LI4) and the facial-oral area,24906968,Acupuncture stimulation of Taichong (Liv3) and Hegu (LI4) modulates the default mode network activity in Alzheimer's disease.,0.333,short_title_field,True,10.1177/1533317514536600,low_confidence_match
DUP_01771,The Effect of Laser Acupuncture in Different Meridians on the Autonomic Nervous System and Its Brain Mechanisms,27886247,Acupuncture and Moxibustion have Different Effects on Fatigue by Regulating the Autonomic Nervous System: A Pilot Controlled Clinical Trial.,0.5,phrase_search,True,10.1038/srep37846,possible_match
DUP_00250,Acupuncture Treatment Modulates the Hypothalamus Functional Connectivity in Patients With Chronic Insomnia Disorder,33664320,Peripheral ERK modulates acupuncture-induced brain neural activity and its functional connectivity.,0.231,phrase_search,True,10.1038/s41598-021-84273-y,low_confidence_match
DUP_00335,Analysis of the differences in brain function response after acupuncture and moxibustion at Zúsānlĭ (足三里ST36) in the patients with functional dyspepsia based on fractional amplitude of low frequency fluctuation of rest functional magnetic resonance imaging,30773866,[Brain regions responding to acupuncture stimulation of Zusanli (ST36) in healthy subjects analyzed on the basis of spontaneous brain activity].,0.233,key_phrases,True,10.13702/j.1000-0607.180138,low_confidence_match
DUP_00521,Changed ACC-DMN functional connectivity after acupuncture with deqi for functional dyspepsia treatment,,,0.0,,False,,no_match_found
DUP_00612,"Corrigendum: Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network (Front. Neurosci., (2021), 15, (693623), 10.3389/fnins.2021.693623)",34858134,Corrigendum: Acupuncture With deqi Modulates the Hemodynamic Response and Functional Connectivity of the Prefrontal-Motor Cortical Network.,0.714,phrase_search,True,10.3389/fnins.2021.773069,found_with_abstract
DUP_00810,Effect of “three-tong acupuncture” on brain function of patients with spinal cord injury based on magnetic resonance technology,38088802,Spinal Neuronal miR-124 Inhibits Microglial Activation and Contributes to Preventive Effect of Electroacupuncture on Chemotherapy-Induced Peripheral Neuropathy in Mice.,0.25,phrase_search,True,10.4049/jimmunol.2300539,low_confidence_match
DUP_00819,Effectiveness of Yamamoto's New Skull Acupuncture (YNSA) on Resting State Brain Networks,,,0.0,,False,,no_match_found
DUP_01308,Multi-brain functional connectivity during electro-acupuncture in patient-clinician dyads: an electroencephalography (EEG) hyperscan approach,,,0.0,,False,,no_match_found
DUP_01309,Multi-brain functional connectivity during electro-acupuncture in patientclinician dyads: An electroencephalography (EEG) hyperscan approach,,,0.0,,False,,no_match_found
DUP_01333,Neural and behavioral correlates of patient-clinician therapeutic alliance in a longitudinal acupuncture intervention: An fMRI hyper-scanning study,,,0.0,,False,,no_match_found
DUP_01539,Randomized Propective Study Evaluating the Impact of an Acupuncture Session in Healthy Volunteers on the Kinetics of Cerebral Activity Using the Bispectral Index (BIS),,,0.0,,False,,no_match_found
DUP_01624,S1 functional connectivity during rest and electro-acupuncture tracks median nerve and patient function improvement following acupuncture for carpal tunnel syndrome,22173193,Nosocomial infection following video-assisted thoracoscopic surgery.,0.053,doi_search,True,,low_confidence_match
DUP_00620,Corrigendum to “Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain” [Neuroimage Clinical 23 (2019) 101885](S2213158219302359)(10.1016/j.nicl.2019.101885),31839331,"Corrigendum to ""Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain"" [Neuroimage Clinical 23 (2019) 101885].",0.957,phrase_search,False,10.1016/j.nicl.2019.102093,found_no_abstract
DUP_01793,The functional connectivity of ACC subregions with the DMN participates in the efficacy of acupuncture with deqi on functional dyspepsia,41398163,Symptom-specific alterations in subregional intrinsic connectivity of anterior cingulate cortex in major depressive disorder.,0.2,phrase_search,True,10.1038/s41398-025-03758-w,low_confidence_match
DUP_01816,The Long-Term Effects of Acupuncture on Hippocampal Functional Connectivity in aMCI with Hippocampal Atrophy: A Randomized Longitudinal fMRI Study,36621587,Effects of acupuncture on regulating the hippocampal inflammatory response in rats exposed to post-traumatic stress disorder.,0.389,phrase_search,True,10.1016/j.neulet.2023.137056,low_confidence_match
DUP_00098,Acupuncture analgesia for low back pain is associated with greater pressure pain-evoked activation in dorsolateral prefrontal cortex and a reduction in hyperalgesia,33107921,Effect of Electroacupuncture vs Sham Treatment on Change in Pain Severity Among Adults With Chronic Low Back Pain: A Randomized Clinical Trial.,0.286,phrase_search,True,10.1001/jamanetworkopen.2020.22787,low_confidence_match
DUP_00217,Acupuncture promotes sensorimotor network neuroplasticity in fibromyalgia,,,0.0,,False,,no_match_found
DUP_00297,Amplitude changes in low frequency fluctuation in brains of primary dysmenorrheal treated by acupuncture: A resting-state fMRI study,22227618,MRI assessment of amplitude of low-frequency fluctuation in rat brains with acute cerebral ischemic stroke.,0.294,short_title_field,True,10.1016/j.neulet.2011.12.036,low_confidence_match
DUP_00440,"Brain Connectome for Migraine Patients Treated Via Acupuncture: A Randomized, Controlled Study Under Single-blind Conditions, With a Placebo Group and Magnetic Resonance Imaging (MRI)",,,0.0,,False,,no_match_found
DUP_00503,Cerebral cortex functional connection analysis of magnetic stimulation at neiguan acupoint (PC6) based on complex network,27630699,Magnetic stimulation at Neiguan (PC6) acupoint increases connections between cerebral cortex regions.,0.5,key_phrases,True,10.4103/1673-5374.187053,possible_match
DUP_00619,"Corrigendum to ‘Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain’ Neuroimage Clinical, 23, 2019, 101885 (NeuroImage: Clinical (2019) 23, (S2213158219302359), (10.1016/j.nicl.2019.101885))",31839331,"Corrigendum to ""Multivariate resting-state functional connectivity predicts responses to real and sham acupuncture treatment in chronic low back pain"" [Neuroimage Clinical 23 (2019) 101885].",0.92,phrase_search,False,10.1016/j.nicl.2019.102093,found_no_abstract
DUP_01000,Exploring the effect on cerebral blood flow after acupuncture in elderly normal subjects using (99m)Tc-ECD imaging,35502338,Effects of Early Acupuncture Combined with Rehabilitation Training on Limb Function and Nerve Injury Rehabilitation in Elderly Patients with Stroke: Based on a Retrospective Cohort Study.,0.25,short_title_field,True,10.1155/2022/8557936,low_confidence_match
DUP_01395,Neuromechanism of acupuncture on Parkinson's disease tremor: A resting state fMRI study,,,0.0,,False,,no_match_found
DUP_01396,Neuromodulation by electroacupuncture for migraine: An analysis using resting state functional magnetic resonance imaging,,,0.0,,False,,no_match_found
DUP_01464,Phantom acupuncture: Dissociation of somatosensory and cognitive/affective component of acupuncture effects in functional brain connectivity,31636536,Differential Influence of Acupuncture Somatosensory and Cognitive/Affective Components on Functional Brain Connectivity and Pain Reduction During Low Back Pain State.,0.615,phrase_search,True,10.3389/fnins.2019.01062,possible_match
DUP_01495,Potential Role of Acupuncture Treatment in Neuronal and Network Dysfunction in Patients With Vascular Cognitive Impairment,41125853,The development and emerging trends in Parkinson's disease from the perspective of mitochondrial dysfunction: a bibliometric analysis using CiteSpace.,0.267,phrase_search,True,10.1007/s00415-025-13472-8,low_confidence_match
DUP_01673,Structural neuroplasticity in primary somatosensory cortex is linked to altered tactile acuity after acupuncture for chronic low back pain,40345837,Gestational Chlorpyrifos Exposure Imparts Lasting Alterations to the Rat Somatosensory Cortex.,0.158,phrase_search,True,10.1523/JNEUROSCI.0363-25.2025,low_confidence_match
