key_path,section,n_papers_present,pct_papers,example_value
adverse_events,adverse_events,159,100.0,"[{'arm_id': 'not_reported', 'adverse_event_exact': 'not_reported', 'n_events': None, 'n_participants': None, 'severity_e"
arms,arms,159,100.0,"[{'arm_id': 'arm_FD', 'arm_label_exact': 'Functional diarrhea', 'arm_type_coded': 'verum_acupuncture', 'n_assigned': 18,"
clinical_behavioral_outcomes,clinical_behavioral_outcomes,159,100.0,"[{'outcome_id': 'clin_FD_defec_pre', 'arm_id': 'arm_FD', 'condition_id': 'cond_FD_pre', 'outcome_measure_exact': 'times "
conditions,conditions,159,100.0,"[{'condition_id': 'cond_FD_pre', 'arm_id': 'arm_FD', 'condition_label_exact': 'Baseline (pre-acupuncture) resting-state "
expectancy_blinding_credibility,expectancy_blinding_credibility,159,100.0,"[{'measure_id': 'expect_not_assessed', 'arm_id': 'not_applicable', 'condition_id': 'not_applicable', 'construct': 'expec"
extraction_notes,extraction_notes,159,100.0,"[{'note_type': 'missing_information', 'note': 'No coordinate tables were provided in the paper. All neuroimaging results"
extraction_notes.note,extraction_notes,159,100.0,No coordinate tables were provided in the paper. All neuroimaging results (ReHo changes and functional connectivity chan
extraction_notes.note_type,extraction_notes,159,100.0,missing_information
funding_conflicts_registration,funding_conflicts_registration,159,100.0,"{'funding_exact': 'National Key Basic Research Program of China (973 Program, no. 2011CB505205), the Youth Foundation of"
funding_conflicts_registration.conflict_of_interest_exact,funding_conflicts_registration,159,100.0,The authors declare they have no conflict of interests.
funding_conflicts_registration.data_availability_exact,funding_conflicts_registration,159,100.0,"The original contributions presented in the study are included in the article, further inquiries can be directed to the "
funding_conflicts_registration.ethics_approval_exact,funding_conflicts_registration,159,100.0,The studies involving human participants were reviewed and approved by the Ethics Committee of the First Affiliated Hosp
funding_conflicts_registration.funding_exact,funding_conflicts_registration,159,100.0,"National Key Basic Research Program of China (973 Program, no. 2011CB505205), the Youth Foundation of Sichuan Province ("
funding_conflicts_registration.trial_registration_exact,funding_conflicts_registration,159,100.0,Chinese Clinical Trial Registry (www.chictr.org.cn) ChiCTR1900025799. This study was registered on 9th September 2019.
interventions,interventions,159,100.0,"[{'intervention_id': 'int_FD_acup', 'arm_id': 'arm_FD', 'condition_id': 'not_applicable', 'procedure_label_exact': 'Acup"
interventions.acupoints_used_exact,interventions,159,100.0,['ST25 (Tianshu)']
interventions.acupuncture_modality,interventions,159,100.0,manual_acupuncture
interventions.anatomical_location_exact,interventions,159,100.0,"ST25 (Tianshu), bilateral"
interventions.arm_id,interventions,159,100.0,arm_FD
interventions.condition_id,interventions,159,100.0,cond_tinnitus_post
interventions.depth_exact,interventions,159,100.0,30–40 mm
interventions.depth_mm_numeric,interventions,159,100.0,20
interventions.deqi_intended_exact,interventions,159,100.0,"soreness, numbness, distention, and heaviness"
interventions.electrical_frequency_exact,interventions,159,100.0,"2Hz, continuous wave"
interventions.electrical_intensity_exact,interventions,159,100.0,"3mA, take the endurance of the subjects as the limit"
interventions.electrical_stimulation,interventions,159,100.0,True
interventions.intervention_id,interventions,159,100.0,int_FD_acup
interventions.laterality_exact,interventions,159,100.0,bilateral
interventions.manipulation_exact,interventions,159,100.0,"gently lifted, thrust, twisted, and rotated to achieve Deqi sensations; needles manually manipulated every 10 minutes fo"
interventions.needle_retention_exact,interventions,159,100.0,30 minutes
interventions.needle_retention_min_numeric,interventions,159,100.0,30
interventions.needle_size_exact,interventions,159,100.0,40–50 mm in length and 0.3 mm in diameter
interventions.needle_type_exact,interventions,159,100.0,"sterile disposable acupuncture needles (Hwato, Suzhou, China)"
interventions.number_of_sessions_exact,interventions,159,100.0,10 sessions total
interventions.number_of_sessions_numeric,interventions,159,100.0,10
interventions.participant_instructions_exact,interventions,159,100.0,all patients were instructed to avoid starting other interventions; patients didn't receive other supplementary medicine
interventions.penetration_exact,interventions,159,100.0,inserted 30–40 mm deep
interventions.practitioner_description_exact,interventions,159,100.0,a licensed acupuncturist
interventions.procedure_label_exact,interventions,159,100.0,Acupuncture at ST25 (Tianshu) bilaterally
interventions.session_duration_exact,interventions,159,100.0,30 min
interventions.session_duration_min_numeric,interventions,159,100.0,30
interventions.sham_details,interventions,159,100.0,"{'sham_subtype_exact': 'not_applicable', 'sham_device_exact': 'not_applicable', 'sham_penetration_exact': 'not_applicabl"
interventions.sham_details.sham_credibility_procedure_exact,interventions,159,100.0,blunt-tipped needle inserted into adhesive foam pad; NA5 penetrating operation designed to promote blinding
interventions.sham_details.sham_deqi_intended_exact,interventions,159,100.0,did not require the 'De Qi' sensation
interventions.sham_details.sham_device_exact,interventions,159,100.0,"sham needles with blunt tips (0.25×40 mm or 0.25×25 mm, Hwato, China)"
interventions.sham_details.sham_location_exact,interventions,159,100.0,non-acupoints (NA1-NA7 as shown in Fig. 1B)
interventions.sham_details.sham_manipulation_exact,interventions,159,100.0,no manipulations performed
interventions.sham_details.sham_penetration_exact,interventions,159,100.0,did not penetrate the skin
interventions.sham_details.sham_subtype_exact,interventions,159,100.0,non-insertive acupuncture treatment on non-acupoints using sham needles with blunt tips
interventions.stimulation_type,interventions,159,100.0,manual acupuncture
interventions.treatment_period_exact,interventions,159,100.0,2 weeks (5 sessions per week)
neural_results,neural_results,159,100.0,"{'contrasts': [{'contrast_id': 'contrast_ReHo_FD_post_vs_pre', 'contrast_label_exact': 'ReHo changes in FD patients afte"
neural_results.contrasts,neural_results,159,100.0,"[{'contrast_id': 'contrast_ReHo_FD_post_vs_pre', 'contrast_label_exact': 'ReHo changes in FD patients after acupuncture "
neuroimaging_methods,neuroimaging_methods,159,100.0,"{'modality': 'rs-fMRI', 'scanner_manufacturer_model_exact': '3-T Siemens magnetic resonance scanner (Allegra; Siemens Me"
neuroimaging_methods.TE_exact,neuroimaging_methods,159,100.0,TE = 30 ms (functional); TE = 2.26 ms (structural)
neuroimaging_methods.TR_exact,neuroimaging_methods,159,100.0,TR = 2000 ms (functional); TR = 1900 ms (structural)
neuroimaging_methods.analysis_software_exact,neuroimaging_methods,159,100.0,Statistical Parametric Mapping 5 (SPM5)
neuroimaging_methods.coordinate_space_reported_exact,neuroimaging_methods,159,100.0,MNI (inferred from normalization to standard MNI template in SPM5)
neuroimaging_methods.field_strength_tesla,neuroimaging_methods,159,100.0,3
neuroimaging_methods.filtering_exact,neuroimaging_methods,159,100.0,bandpass filter (0.01 Hz < f < 0.08 Hz)
neuroimaging_methods.global_signal_regression_exact,neuroimaging_methods,159,100.0,Nuisance covariates were regressed [including Friston 24 head motion parameters and white matter and cerebrospinal fluid
neuroimaging_methods.modality,neuroimaging_methods,159,100.0,rs-fMRI
neuroimaging_methods.motion_exclusion_exact,neuroimaging_methods,159,100.0,No subjects had head motions exceeding 1 mm of movement or 1° rotation in any direction
neuroimaging_methods.multiple_comparison_correction_exact,neuroimaging_methods,159,100.0,family-wise error (FWE) correction at P < 0.05
neuroimaging_methods.normalization_template_exact,neuroimaging_methods,159,100.0,standard MNI template in SPM5
neuroimaging_methods.preprocessing_software_exact,neuroimaging_methods,159,100.0,Statistical Parametric Mapping 5 (SPM5)
neuroimaging_methods.primary_neuroimaging_metrics,neuroimaging_methods,159,100.0,"['Regional homogeneity (ReHo)', 'Functional connectivity (seed-based voxelwise correlation)']"
neuroimaging_methods.scan_duration_exact,neuroimaging_methods,159,100.0,"total volumes, 180"
neuroimaging_methods.scanner_manufacturer_model_exact,neuroimaging_methods,159,100.0,"3-T Siemens magnetic resonance scanner (Allegra; Siemens Medical System, Germany)"
neuroimaging_methods.sequence_exact,neuroimaging_methods,159,100.0,echo planar imaging (EPI) for functional; volumetric three-dimensional spoiled gradient recalled sequence for structural
neuroimaging_methods.smoothing_exact,neuroimaging_methods,159,100.0,"anisotropic Gaussian kernel (full width at half-maximum (FWHM), 6 mm)"
neuroimaging_methods.statistical_thresholds_exact,neuroimaging_methods,159,100.0,"['FWE correction at P < 0.05 (ReHo paired t-test)', 'FWE correction, P < 0.05 (functional connectivity paired t-test)']"
neuroimaging_methods.voxel_size_exact,neuroimaging_methods,159,100.0,"30 continuous slices with a thickness of 5 mm each; field of view, 240 × 240 mm2; data matrix, 64 × 64"
sensory_interoceptive_responses,sensory_interoceptive_responses,159,100.0,"[{'response_id': 'sens_deqi_FD', 'arm_id': 'arm_FD', 'condition_id': 'not_applicable', 'timepoint_exact': 'during acupun"
study,study,159,100.0,"{'pmid': 'not_reported', 'doi': '10.1155/2013/975769', 'trial_registration': 'not_reported', 'title': 'Influence of Acup"
study.article_type,study,159,100.0,Research Article
study.blinding,study,159,100.0,"Acupuncturists were not blinded to the allocation for successfully performing acupuncture treatment. However, they were "
study.disease_condition,study,159,100.0,Functional diarrhea (FD)
study.doi,study,159,100.0,10.1155/2013/975769
study.exclusion_criteria,study,159,100.0,(1) Patients had diarrhea caused by organic disorders; (2) they suffered psychosis or bleeding disorders; (3) they suffe
study.first_author,study,159,100.0,Siyuan Zhou
study.healthy_volunteers,study,159,100.0,True
study.inclusion_criteria,study,159,100.0,(1) Patients were right-handed and aged between 20 and 30 years; (2) they matched the Rome III diagnosis criteria for FD
study.journal,study,159,100.0,Evidence-Based Complementary and Alternative Medicine
study.n_total_analyzed_clinical,study,159,100.0,36
study.n_total_analyzed_neuroimaging,study,159,100.0,36
study.n_total_enrolled,study,159,100.0,36
study.n_total_randomized,study,159,100.0,90
study.pmid,study,159,100.0,9482939
study.population,study,159,100.0,Eighteen FD patients and eighteen age- and sex-matched right-handed healthy controls
study.randomization,study,159,100.0,"Eligible patients were randomly assigned to acupuncture group (AG), sham-acupuncture group (SG), or waiting list group ("
study.study_design,study,159,100.0,"Prospective pre-post fMRI study with two parallel groups (FD patients and healthy controls), both receiving active acupu"
study.title,study,159,100.0,Influence of Acupuncture Stimulation on Cerebral Network in Functional Diarrhea
study.trial_registration,study,159,100.0,ChiCTR1900025799
study.year,study,159,100.0,2013
adverse_events.adverse_event_exact,adverse_events,158,99.4,mild bruising around the acupoints
adverse_events.arm_id,adverse_events,158,99.4,arm_tinnitus
adverse_events.n_events,adverse_events,158,99.4,1
adverse_events.n_participants,adverse_events,158,99.4,3
adverse_events.relatedness_exact,adverse_events,158,99.4,unrelated to the treatment
adverse_events.severity_exact,adverse_events,158,99.4,mild
conditions.arm_id,conditions,158,99.4,arm_FD
conditions.condition_id,conditions,158,99.4,cond_FD_pre
conditions.condition_label_exact,conditions,158,99.4,Baseline (pre-acupuncture) resting-state fMRI scan - FD
conditions.condition_type,conditions,158,99.4,pre_treatment
conditions.dose_or_intensity_label,conditions,158,99.4,"continuous wave, 2Hz, 3mA"
conditions.scan_context,conditions,158,99.4,Resting-state fMRI
conditions.timepoint_exact,conditions,158,99.4,Before acupuncture treatment (baseline)
interventions.treatment_rationale_given_exact,interventions,158,99.4,ST25 (Tianshu) are classical acupuncture points for diarrhea
neural_results.contrasts.analysis_method_exact,neural_results,158,99.4,paired t-test (postacupuncture minus preacupuncture)
neural_results.contrasts.analysis_scope,neural_results,158,99.4,whole_brain
neural_results.contrasts.arm_1,neural_results,158,99.4,arm_FD
neural_results.contrasts.arm_2,neural_results,158,99.4,arm_control
neural_results.contrasts.condition_1,neural_results,158,99.4,cond_FD_post
neural_results.contrasts.condition_2,neural_results,158,99.4,cond_FD_pre
neural_results.contrasts.contrast_id,neural_results,158,99.4,contrast_ReHo_FD_post_vs_pre
neural_results.contrasts.contrast_label_exact,neural_results,158,99.4,ReHo changes in FD patients after acupuncture (postacupuncture minus preacupuncture)
neural_results.contrasts.contrast_type_exact,neural_results,158,99.4,within-group pre vs post
neural_results.contrasts.coordinates_or_clusters,neural_results,158,99.4,"[{'row_id': 'ReHo_FD_dec_1', 'brain_region_exact': 'middle temporal gyrus', 'hemisphere_exact': 'not_reported', 'x': Non"
neural_results.contrasts.correction_method_exact,neural_results,158,99.4,family-wise error (FWE) correction
neural_results.contrasts.covariates_exact,neural_results,158,99.4,head motion parameters regressed out
neural_results.contrasts.direction_exact,neural_results,158,99.4,both increase and decrease reported separately
neural_results.contrasts.model_performance_results,neural_results,158,99.4,"[{'model_result_id': 'MR_01', 'model_type_exact': 'support vector regression (SVR) with linear kernel', 'features_exact'"
neural_results.contrasts.n_analyzed,neural_results,158,99.4,18
